Dataset,# Training,% Training,% Defect Training,Classifier,Balancing,FeatureSelection,Precision,Recall,ROC Area,Kappa
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,RF,No sampling,False,0.9606631989596879,1.0,0.8547010184209686,0.3734448113819357
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,IBk,No sampling,False,0.9697980977807442,0.9834179357021997,0.7762280645744873,0.4725917130452519
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,NB,No sampling,False,0.9760760073260073,0.9618725324309081,0.8358956440717447,0.46431139012640615
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,RF,Under sampling,False,0.9793464052287582,0.9507614213197969,0.8330440091945216,0.4600548759574717
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,IBk,Under sampling,False,0.9811533052039381,0.9442978003384095,0.8286114782534666,0.45644016300200174
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,NB,Under sampling,False,0.9827169232584203,0.9396503102086858,0.8453996944618852,0.45658917229745344
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,RF,Over sampling,False,0.9606631989596879,1.0,0.3537538975619619,0.3734448113819357
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,IBk,Over sampling,False,0.9697980977807442,0.9834179357021997,0.5258420330108866,0.4725917130452519
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,NB,Over sampling,False,0.976285943407034,0.9613085166384658,0.7246379125030595,0.46466849580192826
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,RF,Smote,False,0.9606631989596879,1.0,0.837161191456757,0.3734448113819357
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,IBk,Smote,False,0.9697930574098799,0.983248730964467,0.768670252955762,0.4715982226617888
BOOKKEEPER,1,0.5082422066264077,0.051059730250481696,NB,Smote,False,0.9763896848137535,0.9609701071630006,0.829114920878162,0.4645934758029098
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,RF,No sampling,False,0.9698877169105138,1.0,0.8898092995792682,0.723599409416459
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,IBk,No sampling,False,0.9764216366158114,0.9878968601999649,0.8712259009826956,0.7211182845167012
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,NB,No sampling,False,0.9776749091761396,0.9755598433023446,0.8710018202336081,0.6684840607706498
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,RF,Under sampling,False,0.9757213843605614,0.9816260305209612,0.87389701007895,0.6802345621301213
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,IBk,Under sampling,False,0.9773562454065027,0.9796877740747237,0.8697824037130459,0.6860648557562907
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,NB,Under sampling,False,0.978026813741309,0.9746243349120037,0.8720910449410947,0.667217086075396
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,RF,Over sampling,False,0.9698877169105138,1.0,0.6830419751744402,0.723599409416459
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,IBk,Over sampling,False,0.9765848582083081,0.9876337484651816,0.771446848959041,0.7212542709349281
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,NB,Over sampling,False,0.977790799882801,0.9756183125767409,0.8237966195243273,0.6698467378535072
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,RF,Smote,False,0.9698877169105138,1.0,0.8776056914485804,0.723599409416459
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,IBk,Smote,False,0.97641959254443,0.9878091562883705,0.8652411898744393,0.7206017045069365
BOOKKEEPER,2,0.6677201394943331,0.06952831728415211,NB,Smote,False,0.9795642727112572,0.9753259662047594,0.879683157838584,0.6846840946053981
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,RF,No sampling,False,0.9753860443515616,1.0,0.8845109837154563,0.8294309835878424
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,IBk,No sampling,False,0.9748201438848921,1.0,0.8355728004730619,0.8248224551910718
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,NB,No sampling,False,0.9717120622568093,0.99087410228941,0.8458686817877544,0.7510545853370459
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,RF,Under sampling,False,0.9739239987108493,0.9891977145577907,0.8483308534698251,0.7608035300840085
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,IBk,Under sampling,False,0.974748776088637,0.9906677776455184,0.8397839734900991,0.7747236077357733
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,NB,Under sampling,False,0.9739375440244189,0.987501487918105,0.8541553339570856,0.752619687784332
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,RF,Over sampling,False,0.9746952988972722,0.999523866206404,0.7929100606302629,0.82114608906768
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,IBk,Over sampling,False,0.9744690727631427,0.999523866206404,0.7895899489692088,0.8192928043083663
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,NB,Over sampling,False,0.9737941808240578,0.989326667460223,0.8288956383840633,0.7603977755158627
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,RF,Smote,False,0.9753860443515616,1.0,0.8416246913769866,0.8294309835878424
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,IBk,Smote,False,0.9748767043806208,1.0,0.8147927090092961,0.8252846989157312
BOOKKEEPER,3,0.7477183833116037,0.08445945945945946,NB,Smote,False,0.9780413339596055,0.991429591715272,0.8658449518938478,0.8043087604655914
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,RF,No sampling,False,0.9730633953847474,1.0,0.8859595031034917,0.7835808195965042
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,IBk,No sampling,False,0.9770782396088019,0.9864674248435158,0.8717845051176984,0.7439764800376805
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,NB,No sampling,False,0.978019387725036,0.9754327191513121,0.8719768169202184,0.6974227976553888
