Dataset,#TrainingRelease,Classifier,Precision,Recall,AUC,Kappa
AVRO,1,NaiveBayes,1.0,0.9139784946236559,0.9838709677419355,0.9490277259307023
AVRO,1,RandomForest,1.0,0.9408602150537635,0.9704301075268817,0.9653715401930746
AVRO,1,IBk,1.0,0.946236559139785,0.9695340501792115,0.968593963015314
AVRO,2,NaiveBayes,1.0,0.4625,0.81875,0.6054261059856262
AVRO,2,RandomForest,1.0,0.55,0.775,0.6854815796950466
AVRO,2,IBk,1.0,0.5791666666666667,0.7798611111111111,0.7104893149280281
AVRO,3,NaiveBayes,0.95,0.9539748953974896,0.9901227793401468,0.9348320204253199
AVRO,3,RandomForest,0.9708939708939709,0.9769874476987448,0.9824701157954467,0.9646064234285253
AVRO,3,IBk,0.9638205499276411,0.9288702928870293,0.9461180153271518,0.9272751745038287
AVRO,4,NaiveBayes,1.0,0.08333333333333333,0.7222222222222222,0.14703910614525284
AVRO,4,RandomForest,1.0,0.2638888888888889,0.6319444444444444,0.40468714595539534
AVRO,4,IBk,1.0,0.32407407407407407,0.6419753086419753,0.47621016935133625
AVRO,5,NaiveBayes,1.0,0.05555555555555555,0.5555555555555556,0.1003507701692851
AVRO,5,RandomForest,1.0,0.08333333333333333,0.5416666666666666,0.14703910614525284
AVRO,5,IBk,1.0,0.09259259259259259,0.5432098765432098,0.16212487064505057
AVRO,6,NaiveBayes,0.19796954314720813,0.5,0.6463518099547512,0.18129584693052195
AVRO,6,RandomForest,0.2604501607717042,0.5192307692307693,0.6820402840623428,0.26102086280631576
AVRO,6,IBk,0.24070450097847357,0.5256410256410257,0.6804193899782135,0.239134661631822
AVRO,7,NaiveBayes,1.0,0.6265060240963856,0.9397590361445783,0.7281859198093131
AVRO,7,RandomForest,1.0,0.7530120481927711,0.9292168674698795,0.8296181234996267
AVRO,7,IBk,1.0,0.7951807228915663,0.9303882195448461,0.8611199238578681
AVRO,8,NaiveBayes,1.0,0.42105263157894735,0.7368421052631579,0.5723916707443055
AVRO,8,RandomForest,1.0,0.4473684210526316,0.7368421052631579,0.598389814641453
AVRO,8,IBk,1.0,0.45614035087719296,0.7368421052631579,0.6068711090615633
AVRO,9,NaiveBayes,0.9933554817275747,0.8820058997050148,0.9969765684051398,0.888995059670238
AVRO,9,RandomForest,0.9968701095461658,0.93952802359882,0.9975802513729188,0.9435370645333979
AVRO,9,IBk,0.9962962962962963,0.7935103244837758,0.8872504535519004,0.8103164817098233
AVRO,10,NaiveBayes,1.0,0.85,0.925,0.9141826303582165
AVRO,10,RandomForest,1.0,0.85,0.925,0.9141826303582165
AVRO,10,IBk,1.0,0.85,0.925,0.9141826303582165
AVRO,11,NaiveBayes,0.6607142857142857,0.7708333333333334,0.9304159967845659,0.6874222443393878
AVRO,11,RandomForest,0.8080808080808081,0.8333333333333334,0.9377344587352626,0.8064319086061446
AVRO,11,IBk,0.8652482269503546,0.8472222222222222,0.9355796713111826,0.8451644176896975
AVRO,12,NaiveBayes,1.0,0.4318181818181818,0.9772727272727273,0.5867050588293703
AVRO,12,RandomForest,1.0,0.6931818181818182,0.8920454545454546,0.8084290371380477
AVRO,12,IBk,1.0,0.7803030303030303,0.9015151515151515,0.8690096713373037
AVRO,13,NaiveBayes,1.0,0.2857142857142857,0.6428571428571429,0.4418252231015323
AVRO,13,RandomForest,1.0,0.2857142857142857,0.6428571428571429,0.4418252231015323
AVRO,13,IBk,1.0,0.2857142857142857,0.6428571428571429,0.4418252231015323
AVRO,14,NaiveBayes,1.0,0.4634146341463415,1.0,0.6022727272727276
AVRO,14,RandomForest,1.0,0.7317073170731707,0.8902072961552944,0.8270481144343305
AVRO,14,IBk,1.0,0.8130081300813008,0.9011467644693599,0.8840365442207818
