Dataset,#TrainingRelease,Classifier,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,NaiveBayes,0.9444444444444444,0.38202247191011235,0.911682228969069,0.5194725252587429
BOOKKEEPER,1,RandomForest,0.9393939393939394,0.40636704119850187,0.8053457395298848,0.5428551914634776
BOOKKEEPER,1,IBk,0.9337899543378996,0.5106117353308365,0.793283553363588,0.6374978388009879
BOOKKEEPER,2,NaiveBayes,0.9411764705882353,0.6418338108882522,0.9476408787010506,0.7389746119673151
BOOKKEEPER,2,RandomForest,0.9659498207885304,0.7722063037249284,0.9025293165658496,0.8422347284640385
BOOKKEEPER,2,IBk,0.9692132269099202,0.8118433619866284,0.9058609548740081,0.8700115908818395
BOOKKEEPER,3,NaiveBayes,0.39779005524861877,0.4675324675324675,0.7343125093804903,0.39746406198416195
BOOKKEEPER,3,RandomForest,0.48214285714285715,0.4383116883116883,0.7341210370187257,0.4322895523489686
BOOKKEEPER,3,IBk,0.49246231155778897,0.42424242424242425,0.7124248211943657,0.42955051543794137
BOOKKEEPER,4,NaiveBayes,0.9657534246575342,0.4812286689419795,0.88303750557806,0.617991475122495
BOOKKEEPER,4,RandomForest,0.9839142091152815,0.6262798634812287,0.8382175610310851,0.7464585743972415
BOOKKEEPER,4,IBk,0.9868131868131869,0.5108077360637088,0.7356350445427584,0.650275279284636
BOOKKEEPER,5,NaiveBayes,0.971830985915493,0.31221719457013575,0.7681101117783972,0.45229089605981065
BOOKKEEPER,5,RandomForest,0.9894179894179894,0.4230769230769231,0.7407013321118223,0.5732129963898914
BOOKKEEPER,5,IBk,0.9934640522875817,0.45852187028657615,0.7421533788845749,0.608599616148692
BOOKKEEPER,6,NaiveBayes,0.3277310924369748,0.27177700348432055,0.7779899639655737,0.23262555072591343
BOOKKEEPER,6,RandomForest,0.5981735159817352,0.4564459930313589,0.724030302917498,0.47570197533401254
BOOKKEEPER,6,IBk,0.6646795827123696,0.5180023228803716,0.7388755979541888,0.5453111822506088
