Month,Fixed issues,Number of commits,Number of versions
11/2011,0,29,0
12/2011,0,34,0
1/2012,0,41,0
2/2012,0,88,0
3/2012,0,147,0
4/2012,0,119,0
5/2012,0,106,0
6/2012,0,99,0
7/2012,0,39,0
8/2012,0,15,0
9/2012,0,18,0
10/2012,0,22,0
11/2012,0,8,0
12/2012,0,6,0
1/2013,0,8,0
2/2013,0,10,0
3/2013,0,12,0
4/2013,0,37,0
5/2013,5,5,0
6/2013,2,2,0
7/2013,21,24,0
8/2013,21,22,100
9/2013,28,31,0
10/2013,21,22,0
11/2013,50,41,0
12/2013,12,12,0
1/2014,24,27,0
2/2014,8,8,100
3/2014,40,36,0
4/2014,12,11,0
5/2014,44,51,0
6/2014,13,13,0
7/2014,12,13,0
8/2014,58,66,0
9/2014,71,69,100
10/2014,57,60,0
11/2014,73,73,0
12/2014,42,43,100
1/2015,20,19,0
2/2015,25,24,0
3/2015,42,43,0
4/2015,48,46,0
5/2015,29,36,0
6/2015,57,59,100
7/2015,28,30,0
8/2015,74,72,0
9/2015,64,66,100
10/2015,54,58,0
11/2015,34,36,100
12/2015,40,42,0
1/2016,103,104,0
2/2016,36,32,100
3/2016,24,29,0
4/2016,44,36,0
5/2016,49,45,0
6/2016,60,57,0
7/2016,67,69,0
8/2016,40,34,0
9/2016,8,6,0
10/2016,7,7,0
11/2016,32,13,0
12/2016,39,19,0
1/2017,55,18,0
2/2017,69,29,0
3/2017,31,11,0
4/2017,4,3,0
6/2017,1,1,0
8/2017,2,2,0
9/2017,2,2,0
10/2017,7,10,0
11/2017,0,1,0
1/2018,8,5,0
2/2018,10,8,0
3/2018,12,9,0
4/2018,2,2,0
8/2018,6,6,0
