Dataset,#TrainingRelease,Classifier,Precision,Recall,AUC,Kappa
AVRO,1,NaiveBayes,0.9642857142857143,0.391304347826087,0.9650134192163178,0.5316233309908647
AVRO,1,RandomForest,0.9459459459459459,0.2536231884057971,0.8350697799248524,0.3755096167681903
AVRO,1,IBk,0.9333333333333333,0.2028985507246377,0.6661513687600644,0.3104954820772512
AVRO,2,NaiveBayes,1.0,0.1643835616438356,0.7984448515634759,0.26153056323799734
AVRO,2,RandomForest,0.8870967741935484,0.3767123287671233,0.7580255652246326,0.49902095163501065
AVRO,2,IBk,0.8909090909090909,0.4474885844748858,0.7613391902957627,0.5668177099345482
AVRO,3,NaiveBayes,0.39473684210526316,0.9375,0.923086269744836,0.4922449744623027
AVRO,3,RandomForest,0.4378698224852071,0.925,0.9331067739975699,0.5389293604371937
AVRO,3,IBk,0.4601366742596811,0.8416666666666667,0.8740819495072228,0.5425927938448728
AVRO,4,NaiveBayes,0.0,0.0,0.7222222222222222,0.0
AVRO,4,RandomForest,1.0,0.2222222222222222,0.6319444444444444,0.35127478753540986
AVRO,4,IBk,1.0,0.2962962962962963,0.6419753086419753,0.4438195065831524
AVRO,5,NaiveBayes,0.0,0.0,0.5555555555555556,0.0
AVRO,5,RandomForest,1.0,0.05555555555555555,0.5416666666666666,0.10030043910330444
AVRO,5,IBk,1.0,0.07407407407407407,0.5432098765432098,0.13165478537843134
AVRO,6,NaiveBayes,0.09714285714285714,0.21794871794871795,0.6308120186364933,0.014499444475447805
AVRO,6,RandomForest,0.24786324786324787,0.3717948717948718,0.6220345630883332,0.21455210615785397
AVRO,6,IBk,0.31329113924050633,0.4230769230769231,0.6505895217267281,0.28806030728256965
AVRO,7,NaiveBayes,0.6710526315789473,0.51,0.8706694560669456,0.5298463356973994
AVRO,7,RandomForest,0.8164556962025317,0.645,0.8828852859135286,0.6868363959737201
AVRO,7,IBk,0.8666666666666667,0.6933333333333334,0.8861630249496358,0.7423368431761532
AVRO,8,NaiveBayes,1.0,0.43636363636363634,0.7263817346512599,0.5881558207610904
AVRO,8,RandomForest,1.0,0.43636363636363634,0.7222887372963943,0.5881558207610904
AVRO,8,IBk,1.0,0.43636363636363634,0.7190929200117562,0.5881558207610904
AVRO,9,NaiveBayes,0.9724137931034482,0.94,0.9939957716701903,0.9287481830751232
AVRO,9,RandomForest,0.9864176570458404,0.9683333333333334,0.99309637068358,0.9631056908557054
AVRO,9,IBk,0.9705093833780161,0.8044444444444444,0.8580338266384778,0.8144255648323507
AVRO,10,NaiveBayes,0.9523809523809523,0.6896551724137931,0.8945265462506842,0.7923232068574314
AVRO,10,RandomForest,0.9772727272727273,0.7413793103448276,0.8954296661193213,0.8369467726471408
AVRO,10,IBk,0.9850746268656716,0.7586206896551724,0.8960408684546616,0.8514549180327865
AVRO,11,NaiveBayes,0.7631578947368421,0.7631578947368421,0.9257684210526316,0.7487578947368421
AVRO,11,RandomForest,0.8611111111111112,0.8157894736842105,0.9024631578947369,0.8282605880067344
AVRO,11,IBk,0.8942307692307693,0.8157894736842105,0.8962830409356725,0.8447193149381537
AVRO,12,NaiveBayes,0.8666666666666667,0.325,0.9724959612277867,0.454672563846484
AVRO,12,RandomForest,0.9622641509433962,0.6375,0.8491619547657512,0.7550685194288251
AVRO,12,IBk,0.978021978021978,0.7416666666666667,0.8637228504756777,0.8349611820686202
AVRO,13,NaiveBayes,1.0,0.2857142857142857,0.6428571428571429,0.4417971409121877
AVRO,13,RandomForest,1.0,0.2857142857142857,0.6428571428571429,0.4417971409121877
AVRO,13,IBk,1.0,0.2857142857142857,0.6428571428571429,0.4417971409121877
AVRO,14,NaiveBayes,0.96,0.3582089552238806,0.9986362603227518,0.49372223970902024
AVRO,14,RandomForest,0.9891304347826086,0.6791044776119403,0.8801613758618078,0.7877108080363687
AVRO,14,IBk,0.9873417721518988,0.7761194029850746,0.887999371445087,0.8561915833527085
