Dataset,# Training,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,RF,No sampling,False,1.0,1.0,0.0,0.0,0.9431664411366711,1.0,0.8810719409715105,0.0
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,IBk,No sampling,False,0.9820659971305595,0.7023809523809523,0.2976190476190476,0.017934002869440458,0.9586834733893558,0.9820659971305595,0.7891601762656282,0.3453694134520068
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,NB,No sampling,False,0.9660449545671927,0.5317460317460317,0.46825396825396826,0.03395504543280727,0.967896502156205,0.9660449545671927,0.8354151958886535,0.42791590001346363
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,RF,Under sampling,False,0.9580344332855093,0.44642857142857145,0.5535714285714286,0.04196556671449068,0.9726875455207574,0.9580344332855093,0.8401621319259411,0.4578260769883302
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,IBk,Under sampling,False,0.9560975609756097,0.42857142857142855,0.5714285714285714,0.04390243902439024,0.9736995908825249,0.9560975609756097,0.8346949511511922,0.4623523599946105
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,NB,Under sampling,False,0.952415112386418,0.3888888888888889,0.6111111111111112,0.04758488761358202,0.9759862778730704,0.952415112386418,0.8461267298247213,0.47422043249018375
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,RF,Over sampling,False,1.0,1.0,0.0,0.0,0.9431664411366711,1.0,0.869218419074947,0.0
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,IBk,Over sampling,False,0.9748923959827833,0.6428571428571429,0.35714285714285715,0.025107604017216643,0.9617834394904459,0.9748923959827833,0.8343367834938854,0.3715205779208985
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,NB,Over sampling,False,0.9612625538020086,0.49206349206349204,0.5079365079365079,0.03873744619799139,0.9700772200772201,0.9612625538020086,0.8565146925979064,0.43815427802795476
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,RF,Smote,False,1.0,1.0,0.0,0.0,0.9431664411366711,1.0,0.8830703012912482,0.0
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,IBk,Smote,False,0.9820659971305595,0.6904761904761905,0.30952380952380953,0.017934002869440458,0.9593552908199019,0.9820659971305595,0.7929391268702602,0.35759994134958817
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,NB,Smote,False,0.9660449545671927,0.5238095238095238,0.47619047619047616,0.03395504543280727,0.9683604985618408,0.9660449545671927,0.8369580894688499,0.4341405887580412
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,RF,No sampling,True,1.0,1.0,0.0,0.0,0.9431664411366711,1.0,0.8676641388262623,0.0
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,IBk,No sampling,True,1.0,1.0,0.0,0.0,0.9431664411366711,1.0,0.8453576552572248,0.0
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,NB,No sampling,True,0.9870875179340028,0.8015873015873016,0.1984126984126984,0.01291248206599713,0.9533487297921478,0.9870875179340028,0.8473598111331253,0.25620016670074136
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,RF,Under sampling,True,0.9745337159253945,0.6488095238095238,0.35119047619047616,0.025466284074605453,0.9614295824486907,0.9745337159253945,0.8464625179340028,0.36445901138068454
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,IBk,Under sampling,True,0.9670014347202296,0.5666666666666667,0.43333333333333335,0.03299856527977044,0.9658928059615935,0.9670014347202296,0.8466864794698367,0.40395008961808876
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,NB,Under sampling,True,0.9660449545671927,0.5396825396825397,0.4603174603174603,0.03395504543280727,0.9674329501915708,0.9660449545671927,0.8472364555578329,0.4216452995062188
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,RF,Over sampling,True,0.9368723098995696,0.19047619047619047,0.8095238095238095,0.06312769010043041,0.9878971255673222,0.9368723098995696,0.8700894992143199,0.5320962400155859
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,IBk,Over sampling,True,0.9368723098995696,0.21428571428571427,0.7857142857142857,0.06312769010043041,0.986404833836858,0.9368723098995696,0.8464251554280249,0.5192640506670918
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,NB,Over sampling,True,0.9421329507412721,0.2619047619047619,0.7380952380952381,0.05786704925872788,0.9835247129306041,0.9421329507412721,0.847879802327435,0.5121568560209873
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,RF,Smote,True,1.0,1.0,0.0,0.0,0.9431664411366711,1.0,0.8676641388262623,0.0
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,IBk,Smote,True,1.0,1.0,0.0,0.0,0.9431664411366711,1.0,0.8453576552572248,0.0
AVRO,1,0.4983142279163857,0.056833558863328824,0.09274193548387097,NB,Smote,True,0.9870875179340028,0.8015873015873016,0.1984126984126984,0.01291248206599713,0.9533487297921478,0.9870875179340028,0.8278240835629644,0.25620016670074136
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,RF,No sampling,False,0.9832361516034985,0.40540540540540543,0.5945945945945946,0.016763848396501458,0.9677187948350072,0.9832361516034985,0.9281183515877394,0.6357344622564494
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,IBk,No sampling,False,0.9704810495626822,0.27927927927927926,0.7207207207207207,0.029518950437317785,0.9772477064220183,0.9704810495626822,0.9046002088093925,0.6650450857410914
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,NB,No sampling,False,0.9633138969873664,0.21921921921921922,0.7807807807807807,0.03668610301263363,0.9819217434373452,0.9633138969873664,0.918288186145329,0.6717827113653653
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,RF,Under sampling,False,0.9597303206997084,0.1891891891891892,0.8108108108108109,0.040269679300291544,0.9843019996262381,0.9597303206997084,0.9222999648701179,0.674849201311487
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,IBk,Under sampling,False,0.9575801749271137,0.17117117117117117,0.8288288288288288,0.042419825072886296,0.9857442977190877,0.9575801749271137,0.9226630420507972,0.6766025865556057
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,NB,Under sampling,False,0.9561467444120505,0.15915915915915915,0.8408408408408409,0.04385325558794947,0.9867117964146922,0.9561467444120505,0.9246358238705178,0.6777375586244957
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,RF,Over sampling,False,0.9846938775510204,0.40540540540540543,0.5945945945945946,0.015306122448979591,0.9677650429799427,0.9846938775510204,0.9196510650592283,0.6431977252843392
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,IBk,Over sampling,False,0.9708454810495627,0.2702702702702703,0.7297297297297297,0.029154518950437316,0.9779735682819384,0.9708454810495627,0.9094617576760434,0.6727239481200776
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,NB,Over sampling,False,0.9635568513119533,0.2132132132132132,0.7867867867867868,0.03644314868804665,0.9824126826851622,0.9635568513119533,0.920718094187482,0.6765814297034355
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,RF,Smote,False,0.9832361516034985,0.40540540540540543,0.5945945945945946,0.016763848396501458,0.9677187948350072,0.9832361516034985,0.9190108475822761,0.6357344622564494
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,IBk,Smote,False,0.9704810495626822,0.27927927927927926,0.7207207207207207,0.029518950437317785,0.9772477064220183,0.9704810495626822,0.9001712171355029,0.6650450857410914
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,NB,Smote,False,0.9633138969873664,0.21921921921921922,0.7807807807807807,0.03668610301263363,0.9819217434373452,0.9633138969873664,0.9163868679174801,0.6717827113653653
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,RF,No sampling,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,IBk,No sampling,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,NB,No sampling,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,RF,Under sampling,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,IBk,Under sampling,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,NB,Under sampling,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,RF,Over sampling,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,IBk,Over sampling,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,NB,Over sampling,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,RF,Smote,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,IBk,Smote,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,2,0.6698283649503162,0.07484828051247472,0.09986320109439124,NB,Smote,True,1.0,0.4864864864864865,0.5135135135135135,0.0,0.9621318373071529,1.0,0.7567567567567568,0.6613725738931882
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,RF,No sampling,False,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.8707686335403727,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,IBk,No sampling,False,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.8733806088027415,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,NB,No sampling,False,0.9963875205254515,0.519927536231884,0.48007246376811596,0.00361247947454844,0.9548387096774194,0.9963875205254515,0.8742567704243116,0.6095015211794986
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,RF,Under sampling,False,0.9960591133004926,0.4945652173913043,0.5054347826086957,0.003940886699507389,0.9569332702318978,0.9960591133004926,0.8763548471300064,0.6308893910969958
